fold,run,eta,h1,h2,ce_val,acc_val
3,94,0.1,6.0,4.0,,0.0
3,95,0.1,6.0,4.0,,0.0
3,96,0.1,6.0,4.0,,0.0
3,97,0.1,6.0,4.0,,0.0
3,98,0.1,6.0,4.0,,0.0
3,99,0.1,6.0,4.0,,0.0
3,100,0.1,6.0,4.0,,0.0
3,101,0.1,6.0,4.0,,0.0
3,102,0.1,6.0,4.0,,0.0
3,103,0.1,6.0,4.0,,0.0
3,104,0.1,6.0,4.0,,0.0
3,105,0.1,6.0,4.0,,0.0
3,106,0.1,6.0,4.0,,0.0
3,107,0.1,6.0,4.0,,0.0
3,108,0.1,6.0,4.0,,0.0
3,109,0.1,6.0,4.0,,0.0
3,110,0.1,6.0,4.0,,0.0
3,111,0.1,6.0,4.0,,0.0
3,112,0.1,6.0,4.0,,0.0
3,113,0.1,6.0,4.0,,0.0
3,114,0.1,6.0,4.0,,0.0
3,115,0.1,6.0,4.0,,0.0
3,116,0.1,6.0,4.0,,0.0
3,117,0.1,6.0,4.0,,0.0
3,118,0.1,6.0,4.0,,0.0
3,119,0.1,6.0,4.0,,0.0
3,120,0.1,6.0,4.0,,0.0
3,121,0.1,6.0,4.0,,0.0
3,122,0.1,6.0,4.0,,0.0
3,123,0.1,6.0,4.0,,0.0
3,124,0.1,6.0,4.0,,0.0
3,125,0.1,6.0,4.0,,0.0
3,126,0.1,6.0,4.0,,0.0
3,127,0.1,6.0,4.0,,0.0
3,128,0.1,6.0,4.0,,0.0
3,129,0.1,6.0,4.0,,0.0
3,130,0.1,6.0,4.0,,0.0
3,131,0.1,6.0,4.0,,0.0
3,132,0.1,6.0,4.0,,0.0
3,133,0.1,6.0,4.0,,0.0
3,134,0.1,6.0,4.0,,0.0
3,135,0.1,6.0,4.0,,0.0
3,136,0.1,6.0,4.0,,0.0
3,137,0.1,6.0,4.0,,0.0
3,138,0.1,6.0,4.0,,0.0
3,139,0.1,6.0,4.0,,0.0
3,140,0.1,6.0,4.0,,0.0
3,141,0.1,6.0,4.0,,0.0
3,142,0.1,6.0,4.0,,0.0
3,143,0.1,6.0,4.0,,0.0
3,144,0.1,6.0,4.0,,0.0
3,145,0.1,6.0,4.0,,0.0
3,146,0.1,6.0,4.0,,0.0
3,147,0.1,6.0,4.0,,0.0
3,148,0.1,6.0,4.0,,0.0
3,149,0.1,6.0,4.0,,0.0
3,0,0.1,4.0,4.0,,0.0
3,1,0.1,4.0,4.0,,0.0
3,2,0.1,4.0,4.0,,0.0
3,3,0.1,4.0,4.0,,0.0
3,4,0.1,4.0,4.0,,0.0
3,5,0.1,4.0,4.0,,0.0
3,6,0.1,4.0,4.0,,0.0
3,7,0.1,4.0,4.0,,0.0
3,8,0.1,4.0,4.0,,0.0
3,9,0.1,4.0,4.0,,0.0
3,10,0.1,4.0,4.0,,0.0
3,11,0.1,4.0,4.0,,0.0
3,12,0.1,4.0,4.0,,0.0
3,13,0.1,4.0,4.0,,0.0
3,14,0.1,4.0,4.0,,0.0
3,15,0.1,4.0,4.0,,0.0
3,16,0.1,4.0,4.0,,0.0
3,17,0.1,4.0,4.0,,0.0
3,18,0.1,4.0,4.0,,0.0
3,19,0.1,4.0,4.0,,0.0
3,20,0.1,4.0,4.0,,0.0
3,21,0.1,4.0,4.0,,0.0
3,22,0.1,4.0,4.0,,0.0
3,23,0.1,4.0,4.0,,0.0
3,24,0.1,4.0,4.0,,0.0
3,25,0.1,4.0,4.0,,0.0
3,26,0.1,4.0,4.0,,0.0
3,27,0.1,4.0,4.0,,0.0
3,28,0.1,4.0,4.0,,0.0
3,29,0.1,4.0,4.0,,0.0
3,30,0.1,4.0,4.0,,0.0
3,31,0.1,4.0,4.0,,0.0
3,32,0.1,4.0,4.0,,0.0
3,33,0.1,4.0,4.0,,0.0
3,34,0.1,4.0,4.0,,0.0
3,35,0.1,4.0,4.0,,0.0
3,36,0.1,4.0,4.0,,0.0
3,37,0.1,4.0,4.0,,0.0
3,38,0.1,4.0,4.0,,0.0
3,39,0.1,4.0,4.0,,0.0
3,40,0.1,4.0,4.0,,0.0
3,41,0.1,4.0,4.0,,0.0
3,42,0.1,4.0,4.0,,0.0
3,43,0.1,4.0,4.0,,0.0
3,44,0.1,4.0,4.0,,0.0
3,45,0.1,4.0,4.0,,0.0
3,46,0.1,4.0,4.0,,0.0
3,47,0.1,4.0,4.0,,0.0
3,48,0.1,4.0,4.0,,0.0
3,49,0.1,4.0,4.0,,0.0
3,50,0.1,4.0,4.0,,0.0
3,51,0.1,4.0,4.0,,0.0
3,52,0.1,4.0,4.0,,0.0
3,53,0.1,4.0,4.0,,0.0
3,54,0.1,4.0,4.0,,0.0
3,55,0.1,4.0,4.0,,0.0
3,56,0.1,4.0,4.0,,0.0
3,57,0.1,4.0,4.0,,0.0
3,58,0.1,4.0,4.0,,0.0
3,59,0.1,4.0,4.0,,0.0
3,60,0.1,4.0,4.0,,0.0
3,61,0.1,4.0,4.0,,0.0
3,62,0.1,4.0,4.0,,0.0
3,63,0.1,4.0,4.0,,0.0
3,64,0.1,4.0,4.0,,0.0
3,65,0.1,4.0,4.0,,0.0
3,66,0.1,4.0,4.0,,0.0
3,67,0.1,4.0,4.0,,0.0
3,68,0.1,4.0,4.0,,0.0
3,69,0.1,4.0,4.0,,0.0
3,70,0.1,4.0,4.0,,0.0
3,71,0.1,4.0,4.0,,0.0
3,72,0.1,4.0,4.0,,0.0
3,73,0.1,4.0,4.0,,0.0
3,74,0.1,4.0,4.0,,0.0
3,75,0.1,4.0,4.0,,0.0
3,76,0.1,4.0,4.0,,0.0
3,77,0.1,4.0,4.0,,0.0
3,78,0.1,4.0,4.0,,0.0
3,79,0.1,4.0,4.0,,0.0
3,80,0.1,4.0,4.0,,0.0
3,81,0.1,4.0,4.0,,0.0
3,82,0.1,4.0,4.0,,0.0
3,83,0.1,4.0,4.0,,0.0
3,84,0.1,4.0,4.0,,0.0
3,85,0.1,4.0,4.0,,0.0
3,86,0.1,4.0,4.0,,0.0
3,87,0.1,4.0,4.0,,0.0
3,88,0.1,4.0,4.0,,0.0
3,89,0.1,4.0,4.0,,0.0
3,90,0.1,4.0,4.0,,0.0
3,91,0.1,4.0,4.0,,0.0
3,92,0.1,4.0,4.0,,0.0
3,93,0.1,4.0,4.0,,0.0
3,94,0.1,4.0,4.0,,0.0
3,95,0.1,4.0,4.0,,0.0
3,96,0.1,4.0,4.0,,0.0
3,97,0.1,4.0,4.0,,0.0
3,98,0.1,4.0,4.0,,0.0
3,99,0.1,4.0,4.0,,0.0
3,100,0.1,4.0,4.0,,0.0
3,101,0.1,4.0,4.0,,0.0
3,102,0.1,4.0,4.0,,0.0
3,103,0.1,4.0,4.0,,0.0
3,104,0.1,4.0,4.0,,0.0
3,105,0.1,4.0,4.0,,0.0
3,106,0.1,4.0,4.0,,0.0
3,107,0.1,4.0,4.0,,0.0
3,108,0.1,4.0,4.0,,0.0
3,109,0.1,4.0,4.0,,0.0
3,110,0.1,4.0,4.0,,0.0
3,111,0.1,4.0,4.0,,0.0
3,112,0.1,4.0,4.0,,0.0
3,113,0.1,4.0,4.0,,0.0
3,114,0.1,4.0,4.0,,0.0
3,115,0.1,4.0,4.0,,0.0
3,116,0.1,4.0,4.0,,0.0
3,117,0.1,4.0,4.0,,0.0
3,118,0.1,4.0,4.0,,0.0
3,119,0.1,4.0,4.0,,0.0
3,120,0.1,4.0,4.0,,0.0
3,121,0.1,4.0,4.0,,0.0
3,122,0.1,4.0,4.0,,0.0
3,123,0.1,4.0,4.0,,0.0
3,124,0.1,4.0,4.0,,0.0
3,125,0.1,4.0,4.0,,0.0
3,126,0.1,4.0,4.0,,0.0
3,127,0.1,4.0,4.0,,0.0
3,128,0.1,4.0,4.0,,0.0
3,129,0.1,4.0,4.0,,0.0
3,130,0.1,4.0,4.0,,0.0
3,131,0.1,4.0,4.0,,0.0
3,132,0.1,4.0,4.0,,0.0
3,133,0.1,4.0,4.0,,0.0
3,134,0.1,4.0,4.0,,0.0
3,135,0.1,4.0,4.0,,0.0
3,136,0.1,4.0,4.0,,0.0
3,137,0.1,4.0,4.0,,0.0
3,138,0.1,4.0,4.0,,0.0
3,139,0.1,4.0,4.0,,0.0
3,140,0.1,4.0,4.0,,0.0
3,141,0.1,4.0,4.0,,0.0
3,142,0.1,4.0,4.0,,0.0
3,143,0.1,4.0,4.0,,0.0
3,144,0.1,4.0,4.0,,0.0
3,145,0.1,4.0,4.0,,0.0
3,146,0.1,4.0,4.0,,0.0
3,147,0.1,4.0,4.0,,0.0
3,148,0.1,4.0,4.0,,0.0
3,149,0.1,4.0,4.0,,0.0
3,0,0.1,4.0,2.0,,0.0
3,1,0.1,4.0,2.0,,0.0
3,2,0.1,4.0,2.0,,0.0
3,3,0.1,4.0,2.0,,0.0
3,4,0.1,4.0,2.0,,0.0
3,5,0.1,4.0,2.0,,0.0
3,6,0.1,4.0,2.0,,0.0
3,7,0.1,4.0,2.0,,0.0
3,8,0.1,4.0,2.0,,0.0
3,9,0.1,4.0,2.0,,0.0
3,10,0.1,4.0,2.0,,0.0
3,11,0.1,4.0,2.0,,0.0
3,12,0.1,4.0,2.0,,0.0
3,13,0.1,4.0,2.0,,0.0
3,14,0.1,4.0,2.0,,0.0
3,15,0.1,4.0,2.0,,0.0
3,16,0.1,4.0,2.0,,0.0
3,17,0.1,4.0,2.0,,0.0
3,18,0.1,4.0,2.0,,0.0
3,19,0.1,4.0,2.0,,0.0
3,20,0.1,4.0,2.0,,0.0
3,21,0.1,4.0,2.0,,0.0
3,22,0.1,4.0,2.0,,0.0
3,23,0.1,4.0,2.0,,0.0
3,24,0.1,4.0,2.0,,0.0
3,25,0.1,4.0,2.0,,0.0
3,26,0.1,4.0,2.0,,0.0
3,27,0.1,4.0,2.0,,0.0
3,28,0.1,4.0,2.0,,0.0
3,29,0.1,4.0,2.0,,0.0
3,30,0.1,4.0,2.0,,0.0
3,31,0.1,4.0,2.0,,0.0
3,32,0.1,4.0,2.0,,0.0
3,33,0.1,4.0,2.0,,0.0
3,34,0.1,4.0,2.0,,0.0
3,35,0.1,4.0,2.0,,0.0
3,36,0.1,4.0,2.0,,0.0
3,37,0.1,4.0,2.0,,0.0
3,38,0.1,4.0,2.0,,0.0
3,39,0.1,4.0,2.0,,0.0
3,40,0.1,4.0,2.0,,0.0
3,41,0.1,4.0,2.0,,0.0
3,42,0.1,4.0,2.0,,0.0
3,43,0.1,4.0,2.0,,0.0
3,44,0.1,4.0,2.0,,0.0
3,45,0.1,4.0,2.0,,0.0
3,46,0.1,4.0,2.0,,0.0
3,47,0.1,4.0,2.0,,0.0
3,48,0.1,4.0,2.0,,0.0
3,49,0.1,4.0,2.0,,0.0
3,50,0.1,4.0,2.0,,0.0
3,51,0.1,4.0,2.0,,0.0
3,52,0.1,4.0,2.0,,0.0
3,53,0.1,4.0,2.0,,0.0
3,54,0.1,4.0,2.0,,0.0
3,55,0.1,4.0,2.0,,0.0
3,56,0.1,4.0,2.0,,0.0
3,57,0.1,4.0,2.0,,0.0
3,58,0.1,4.0,2.0,,0.0
3,59,0.1,4.0,2.0,,0.0
3,60,0.1,4.0,2.0,,0.0
3,61,0.1,4.0,2.0,,0.0
3,62,0.1,4.0,2.0,,0.0
3,63,0.1,4.0,2.0,,0.0
3,64,0.1,4.0,2.0,,0.0
3,65,0.1,4.0,2.0,,0.0
3,66,0.1,4.0,2.0,,0.0
3,67,0.1,4.0,2.0,,0.0
3,68,0.1,4.0,2.0,,0.0
3,69,0.1,4.0,2.0,,0.0
3,70,0.1,4.0,2.0,,0.0
3,71,0.1,4.0,2.0,,0.0
3,72,0.1,4.0,2.0,,0.0
3,73,0.1,4.0,2.0,,0.0
3,74,0.1,4.0,2.0,,0.0
3,75,0.1,4.0,2.0,,0.0
3,76,0.1,4.0,2.0,,0.0
3,77,0.1,4.0,2.0,,0.0
3,78,0.1,4.0,2.0,,0.0
3,79,0.1,4.0,2.0,,0.0
3,80,0.1,4.0,2.0,,0.0
3,81,0.1,4.0,2.0,,0.0
3,82,0.1,4.0,2.0,,0.0
3,83,0.1,4.0,2.0,,0.0
3,84,0.1,4.0,2.0,,0.0
3,85,0.1,4.0,2.0,,0.0
3,86,0.1,4.0,2.0,,0.0
3,87,0.1,4.0,2.0,,0.0
3,88,0.1,4.0,2.0,,0.0
3,89,0.1,4.0,2.0,,0.0
3,90,0.1,4.0,2.0,,0.0
3,91,0.1,4.0,2.0,,0.0
3,92,0.1,4.0,2.0,,0.0
3,93,0.1,4.0,2.0,,0.0
3,94,0.1,4.0,2.0,,0.0
3,95,0.1,4.0,2.0,,0.0
3,96,0.1,4.0,2.0,,0.0
3,97,0.1,4.0,2.0,,0.0
3,98,0.1,4.0,2.0,,0.0
3,99,0.1,4.0,2.0,,0.0
3,100,0.1,4.0,2.0,,0.0
3,101,0.1,4.0,2.0,,0.0
3,102,0.1,4.0,2.0,,0.0
3,103,0.1,4.0,2.0,,0.0
3,104,0.1,4.0,2.0,,0.0
3,105,0.1,4.0,2.0,,0.0
3,106,0.1,4.0,2.0,,0.0
3,107,0.1,4.0,2.0,,0.0
3,108,0.1,4.0,2.0,,0.0
3,109,0.1,4.0,2.0,,0.0
3,110,0.1,4.0,2.0,,0.0
3,111,0.1,4.0,2.0,,0.0
3,112,0.1,4.0,2.0,,0.0
3,113,0.1,4.0,2.0,,0.0
3,114,0.1,4.0,2.0,,0.0
3,115,0.1,4.0,2.0,,0.0
3,116,0.1,4.0,2.0,,0.0
3,117,0.1,4.0,2.0,,0.0
3,118,0.1,4.0,2.0,,0.0
3,119,0.1,4.0,2.0,,0.0
3,120,0.1,4.0,2.0,,0.0
3,121,0.1,4.0,2.0,,0.0
3,122,0.1,4.0,2.0,,0.0
3,123,0.1,4.0,2.0,,0.0
3,124,0.1,4.0,2.0,,0.0
3,125,0.1,4.0,2.0,,0.0
3,126,0.1,4.0,2.0,,0.0
3,127,0.1,4.0,2.0,,0.0
3,128,0.1,4.0,2.0,,0.0
3,129,0.1,4.0,2.0,,0.0
3,130,0.1,4.0,2.0,,0.0
3,131,0.1,4.0,2.0,,0.0
3,132,0.1,4.0,2.0,,0.0
3,133,0.1,4.0,2.0,,0.0
3,134,0.1,4.0,2.0,,0.0
3,135,0.1,4.0,2.0,,0.0
3,136,0.1,4.0,2.0,,0.0
3,137,0.1,4.0,2.0,,0.0
3,138,0.1,4.0,2.0,,0.0
3,139,0.1,4.0,2.0,,0.0
3,140,0.1,4.0,2.0,,0.0
3,141,0.1,4.0,2.0,,0.0
3,142,0.1,4.0,2.0,,0.0
3,143,0.1,4.0,2.0,,0.0
3,144,0.1,4.0,2.0,,0.0
3,145,0.1,4.0,2.0,,0.0
3,146,0.1,4.0,2.0,,0.0
3,147,0.1,4.0,2.0,,0.0
3,148,0.1,4.0,2.0,,0.0
3,149,0.1,4.0,2.0,,0.0
3,0,0.2,8.0,6.0,,0.0
3,1,0.2,8.0,6.0,,0.0
3,2,0.2,8.0,6.0,,0.0
3,3,0.2,8.0,6.0,,0.0
3,4,0.2,8.0,6.0,,0.0
3,5,0.2,8.0,6.0,,0.0
3,6,0.2,8.0,6.0,,0.0
3,7,0.2,8.0,6.0,,0.0
3,8,0.2,8.0,6.0,,0.0
3,9,0.2,8.0,6.0,,0.0
3,10,0.2,8.0,6.0,,0.0
3,11,0.2,8.0,6.0,,0.0
3,12,0.2,8.0,6.0,,0.0
3,13,0.2,8.0,6.0,,0.0
3,14,0.2,8.0,6.0,,0.0
3,15,0.2,8.0,6.0,,0.0
3,16,0.2,8.0,6.0,,0.0
3,17,0.2,8.0,6.0,,0.0
3,18,0.2,8.0,6.0,,0.0
3,19,0.2,8.0,6.0,,0.0
3,20,0.2,8.0,6.0,,0.0
3,21,0.2,8.0,6.0,,0.0
3,22,0.2,8.0,6.0,,0.0
3,23,0.2,8.0,6.0,,0.0
3,24,0.2,8.0,6.0,,0.0
3,25,0.2,8.0,6.0,,0.0
3,26,0.2,8.0,6.0,,0.0
3,27,0.2,8.0,6.0,,0.0
3,28,0.2,8.0,6.0,,0.0
3,29,0.2,8.0,6.0,,0.0
3,30,0.2,8.0,6.0,,0.0
3,31,0.2,8.0,6.0,,0.0
3,32,0.2,8.0,6.0,,0.0
3,33,0.2,8.0,6.0,,0.0
3,34,0.2,8.0,6.0,,0.0
3,35,0.2,8.0,6.0,,0.0
3,36,0.2,8.0,6.0,,0.0
3,37,0.2,8.0,6.0,,0.0
3,38,0.2,8.0,6.0,,0.0
3,39,0.2,8.0,6.0,,0.0
3,40,0.2,8.0,6.0,,0.0
3,41,0.2,8.0,6.0,,0.0
3,42,0.2,8.0,6.0,,0.0
3,43,0.2,8.0,6.0,,0.0
3,44,0.2,8.0,6.0,,0.0
3,45,0.2,8.0,6.0,,0.0
3,46,0.2,8.0,6.0,,0.0
3,47,0.2,8.0,6.0,,0.0
3,48,0.2,8.0,6.0,,0.0
3,49,0.2,8.0,6.0,,0.0
3,50,0.2,8.0,6.0,,0.0
3,51,0.2,8.0,6.0,,0.0
3,52,0.2,8.0,6.0,,0.0
3,53,0.2,8.0,6.0,,0.0
3,54,0.2,8.0,6.0,,0.0
3,55,0.2,8.0,6.0,,0.0
3,56,0.2,8.0,6.0,,0.0
3,57,0.2,8.0,6.0,,0.0
3,58,0.2,8.0,6.0,,0.0
3,59,0.2,8.0,6.0,,0.0
3,60,0.2,8.0,6.0,,0.0
3,61,0.2,8.0,6.0,,0.0
3,62,0.2,8.0,6.0,,0.0
3,63,0.2,8.0,6.0,,0.0
3,64,0.2,8.0,6.0,,0.0
3,65,0.2,8.0,6.0,,0.0
3,66,0.2,8.0,6.0,,0.0
3,67,0.2,8.0,6.0,,0.0
3,68,0.2,8.0,6.0,,0.0
3,69,0.2,8.0,6.0,,0.0
3,70,0.2,8.0,6.0,,0.0
3,71,0.2,8.0,6.0,,0.0
3,72,0.2,8.0,6.0,,0.0
3,73,0.2,8.0,6.0,,0.0
3,74,0.2,8.0,6.0,,0.0
3,75,0.2,8.0,6.0,,0.0
3,76,0.2,8.0,6.0,,0.0
3,77,0.2,8.0,6.0,,0.0
3,78,0.2,8.0,6.0,,0.0
3,79,0.2,8.0,6.0,,0.0
3,80,0.2,8.0,6.0,,0.0
3,81,0.2,8.0,6.0,,0.0
3,82,0.2,8.0,6.0,,0.0
3,83,0.2,8.0,6.0,,0.0
3,84,0.2,8.0,6.0,,0.0
3,85,0.2,8.0,6.0,,0.0
3,86,0.2,8.0,6.0,,0.0
3,87,0.2,8.0,6.0,,0.0
3,88,0.2,8.0,6.0,,0.0
3,89,0.2,8.0,6.0,,0.0
3,90,0.2,8.0,6.0,,0.0
3,91,0.2,8.0,6.0,,0.0
3,92,0.2,8.0,6.0,,0.0
3,93,0.2,8.0,6.0,,0.0
3,94,0.2,8.0,6.0,,0.0
3,95,0.2,8.0,6.0,,0.0
3,96,0.2,8.0,6.0,,0.0
3,97,0.2,8.0,6.0,,0.0
3,98,0.2,8.0,6.0,,0.0
3,99,0.2,8.0,6.0,,0.0
3,100,0.2,8.0,6.0,,0.0
3,101,0.2,8.0,6.0,,0.0
3,102,0.2,8.0,6.0,,0.0
3,103,0.2,8.0,6.0,,0.0
3,104,0.2,8.0,6.0,,0.0
3,105,0.2,8.0,6.0,,0.0
3,106,0.2,8.0,6.0,,0.0
3,107,0.2,8.0,6.0,,0.0
3,108,0.2,8.0,6.0,,0.0
3,109,0.2,8.0,6.0,,0.0
3,110,0.2,8.0,6.0,,0.0
3,111,0.2,8.0,6.0,,0.0
3,112,0.2,8.0,6.0,,0.0
3,113,0.2,8.0,6.0,,0.0
3,114,0.2,8.0,6.0,,0.0
3,115,0.2,8.0,6.0,,0.0
3,116,0.2,8.0,6.0,,0.0
3,117,0.2,8.0,6.0,,0.0
3,118,0.2,8.0,6.0,,0.0
3,119,0.2,8.0,6.0,,0.0
3,120,0.2,8.0,6.0,,0.0
3,121,0.2,8.0,6.0,,0.0
3,122,0.2,8.0,6.0,,0.0
3,123,0.2,8.0,6.0,,0.0
3,124,0.2,8.0,6.0,,0.0
3,125,0.2,8.0,6.0,,0.0
3,126,0.2,8.0,6.0,,0.0
3,127,0.2,8.0,6.0,,0.0
3,128,0.2,8.0,6.0,,0.0
3,129,0.2,8.0,6.0,,0.0
3,130,0.2,8.0,6.0,,0.0
3,131,0.2,8.0,6.0,,0.0
3,132,0.2,8.0,6.0,,0.0
3,133,0.2,8.0,6.0,,0.0
3,134,0.2,8.0,6.0,,0.0
3,135,0.2,8.0,6.0,,0.0
3,136,0.2,8.0,6.0,,0.0
3,137,0.2,8.0,6.0,,0.0
3,138,0.2,8.0,6.0,,0.0
3,139,0.2,8.0,6.0,,0.0
3,140,0.2,8.0,6.0,,0.0
3,141,0.2,8.0,6.0,,0.0
3,142,0.2,8.0,6.0,,0.0
3,143,0.2,8.0,6.0,,0.0
3,144,0.2,8.0,6.0,,0.0
3,145,0.2,8.0,6.0,,0.0
3,146,0.2,8.0,6.0,,0.0
3,147,0.2,8.0,6.0,,0.0
3,148,0.2,8.0,6.0,,0.0
3,149,0.2,8.0,6.0,,0.0
3,0,0.2,8.0,4.0,,0.0
3,1,0.2,8.0,4.0,,0.0
3,2,0.2,8.0,4.0,,0.0
3,3,0.2,8.0,4.0,,0.0
3,4,0.2,8.0,4.0,,0.0
3,5,0.2,8.0,4.0,,0.0
3,6,0.2,8.0,4.0,,0.0
3,7,0.2,8.0,4.0,,0.0
3,8,0.2,8.0,4.0,,0.0
3,9,0.2,8.0,4.0,,0.0
3,10,0.2,8.0,4.0,,0.0
3,11,0.2,8.0,4.0,,0.0
3,12,0.2,8.0,4.0,,0.0
3,13,0.2,8.0,4.0,,0.0
3,14,0.2,8.0,4.0,,0.0
3,15,0.2,8.0,4.0,,0.0
3,16,0.2,8.0,4.0,,0.0
3,17,0.2,8.0,4.0,,0.0
3,18,0.2,8.0,4.0,,0.0
3,19,0.2,8.0,4.0,,0.0
3,20,0.2,8.0,4.0,,0.0
3,21,0.2,8.0,4.0,,0.0
3,22,0.2,8.0,4.0,,0.0
3,23,0.2,8.0,4.0,,0.0
3,24,0.2,8.0,4.0,,0.0
3,25,0.2,8.0,4.0,,0.0
3,26,0.2,8.0,4.0,,0.0
3,27,0.2,8.0,4.0,,0.0
3,28,0.2,8.0,4.0,,0.0
3,29,0.2,8.0,4.0,,0.0
3,30,0.2,8.0,4.0,,0.0
3,31,0.2,8.0,4.0,,0.0
3,32,0.2,8.0,4.0,,0.0
3,33,0.2,8.0,4.0,,0.0
3,34,0.2,8.0,4.0,,0.0
3,35,0.2,8.0,4.0,,0.0
3,36,0.2,8.0,4.0,,0.0
3,37,0.2,8.0,4.0,,0.0
3,38,0.2,8.0,4.0,,0.0
3,39,0.2,8.0,4.0,,0.0
3,40,0.2,8.0,4.0,,0.0
3,41,0.2,8.0,4.0,,0.0
3,42,0.2,8.0,4.0,,0.0
3,43,0.2,8.0,4.0,,0.0
3,44,0.2,8.0,4.0,,0.0
3,45,0.2,8.0,4.0,,0.0
3,46,0.2,8.0,4.0,,0.0
3,47,0.2,8.0,4.0,,0.0
3,48,0.2,8.0,4.0,,0.0
3,49,0.2,8.0,4.0,,0.0
3,50,0.2,8.0,4.0,,0.0
3,51,0.2,8.0,4.0,,0.0
3,52,0.2,8.0,4.0,,0.0
3,53,0.2,8.0,4.0,,0.0
3,54,0.2,8.0,4.0,,0.0
3,55,0.2,8.0,4.0,,0.0
3,56,0.2,8.0,4.0,,0.0
3,57,0.2,8.0,4.0,,0.0
3,58,0.2,8.0,4.0,,0.0
3,59,0.2,8.0,4.0,,0.0
3,60,0.2,8.0,4.0,,0.0
3,61,0.2,8.0,4.0,,0.0
3,62,0.2,8.0,4.0,,0.0
3,63,0.2,8.0,4.0,,0.0
3,64,0.2,8.0,4.0,,0.0
3,65,0.2,8.0,4.0,,0.0
3,66,0.2,8.0,4.0,,0.0
3,67,0.2,8.0,4.0,,0.0
3,68,0.2,8.0,4.0,,0.0
3,69,0.2,8.0,4.0,,0.0
3,70,0.2,8.0,4.0,,0.0
3,71,0.2,8.0,4.0,,0.0
3,72,0.2,8.0,4.0,,0.0
3,73,0.2,8.0,4.0,,0.0
3,74,0.2,8.0,4.0,,0.0
3,75,0.2,8.0,4.0,,0.0
3,76,0.2,8.0,4.0,,0.0
3,77,0.2,8.0,4.0,,0.0
3,78,0.2,8.0,4.0,,0.0
3,79,0.2,8.0,4.0,,0.0
3,80,0.2,8.0,4.0,,0.0
3,81,0.2,8.0,4.0,,0.0
3,82,0.2,8.0,4.0,,0.0
3,83,0.2,8.0,4.0,,0.0
3,84,0.2,8.0,4.0,,0.0
3,85,0.2,8.0,4.0,,0.0
3,86,0.2,8.0,4.0,,0.0
3,87,0.2,8.0,4.0,,0.0
3,88,0.2,8.0,4.0,,0.0
3,89,0.2,8.0,4.0,,0.0
3,90,0.2,8.0,4.0,,0.0
3,91,0.2,8.0,4.0,,0.0
3,92,0.2,8.0,4.0,,0.0
3,93,0.2,8.0,4.0,,0.0
3,94,0.2,8.0,4.0,,0.0
3,95,0.2,8.0,4.0,,0.0
3,96,0.2,8.0,4.0,,0.0
3,97,0.2,8.0,4.0,,0.0
3,98,0.2,8.0,4.0,,0.0
3,99,0.2,8.0,4.0,,0.0
3,100,0.2,8.0,4.0,,0.0
3,101,0.2,8.0,4.0,,0.0
3,102,0.2,8.0,4.0,,0.0
3,103,0.2,8.0,4.0,,0.0
3,104,0.2,8.0,4.0,,0.0
3,105,0.2,8.0,4.0,,0.0
3,106,0.2,8.0,4.0,,0.0
3,107,0.2,8.0,4.0,,0.0
3,108,0.2,8.0,4.0,,0.0
3,109,0.2,8.0,4.0,,0.0
3,110,0.2,8.0,4.0,,0.0
3,111,0.2,8.0,4.0,,0.0
3,112,0.2,8.0,4.0,,0.0
3,113,0.2,8.0,4.0,,0.0
3,114,0.2,8.0,4.0,,0.0
3,115,0.2,8.0,4.0,,0.0
3,116,0.2,8.0,4.0,,0.0
3,117,0.2,8.0,4.0,,0.0
3,118,0.2,8.0,4.0,,0.0
3,119,0.2,8.0,4.0,,0.0
3,120,0.2,8.0,4.0,,0.0
3,121,0.2,8.0,4.0,,0.0
3,122,0.2,8.0,4.0,,0.0
3,123,0.2,8.0,4.0,,0.0
3,124,0.2,8.0,4.0,,0.0
3,125,0.2,8.0,4.0,,0.0
3,126,0.2,8.0,4.0,,0.0
3,127,0.2,8.0,4.0,,0.0
3,128,0.2,8.0,4.0,,0.0
3,129,0.2,8.0,4.0,,0.0
3,130,0.2,8.0,4.0,,0.0
3,131,0.2,8.0,4.0,,0.0
3,132,0.2,8.0,4.0,,0.0
3,133,0.2,8.0,4.0,,0.0
3,134,0.2,8.0,4.0,,0.0
3,135,0.2,8.0,4.0,,0.0
3,136,0.2,8.0,4.0,,0.0
3,137,0.2,8.0,4.0,,0.0
3,138,0.2,8.0,4.0,,0.0
3,139,0.2,8.0,4.0,,0.0
3,140,0.2,8.0,4.0,,0.0
3,141,0.2,8.0,4.0,,0.0
3,142,0.2,8.0,4.0,,0.0
3,143,0.2,8.0,4.0,,0.0
3,144,0.2,8.0,4.0,,0.0
3,145,0.2,8.0,4.0,,0.0
3,146,0.2,8.0,4.0,,0.0
3,147,0.2,8.0,4.0,,0.0
3,148,0.2,8.0,4.0,,0.0
3,149,0.2,8.0,4.0,,0.0
3,0,0.2,6.0,6.0,,0.0
3,1,0.2,6.0,6.0,,0.0
3,2,0.2,6.0,6.0,,0.0
3,3,0.2,6.0,6.0,,0.0
3,4,0.2,6.0,6.0,,0.0
3,5,0.2,6.0,6.0,,0.0
3,6,0.2,6.0,6.0,,0.0
3,7,0.2,6.0,6.0,,0.0
3,8,0.2,6.0,6.0,,0.0
